Imbalance settlement period (CET/CEST),+ Imbalance Price [EUR/MWh] - SCA|HR,- Imbalance Price [EUR/MWh] - SCA|HR,Currency,Status,Total Imbalance [MWh] - SCA|HR,Difference,Situation,Status
19.04.2023 11:00 - 19.04.2023 12:00,74.75,74.75,EUR,Final,61,8,Surplus,Final
19.04.2023 12:00 - 19.04.2023 13:00,68.47,68.47,EUR,Final,20,1,Surplus,Final
19.04.2023 13:00 - 19.04.2023 14:00,155.86,155.86,EUR,Final,6,-7,Deficit,Final
19.04.2023 14:00 - 19.04.2023 15:00,158.9,158.9,EUR,Final,11,-5,Deficit,Final
19.04.2023 15:00 - 19.04.2023 16:00,73.81,73.81,EUR,Final,13,-2,Surplus,Final
19.04.2023 16:00 - 19.04.2023 17:00,77.67,77.67,EUR,Final,20,-1,Surplus,Final
19.04.2023 17:00 - 19.04.2023 18:00,78.15,78.15,EUR,Final,69,-5,Surplus,Final
19.04.2023 18:00 - 19.04.2023 19:00,82.09,82.09,EUR,Final,19,-3,Surplus,Final
19.04.2023 19:00 - 19.04.2023 20:00,223.92,223.92,EUR,Final,19,-5,Deficit,Final
19.04.2023 20:00 - 19.04.2023 21:00,217.58,217.58,EUR,Final,57,-2,Deficit,Final
19.04.2023 21:00 - 19.04.2023 22:00,73.69,73.69,EUR,Final,1,-3,Surplus,Final
19.04.2023 22:00 - 19.04.2023 23:00,153.86,153.86,EUR,Final,27,-9,Deficit,Final
19.04.2023 23:00 - 20.04.2023 00:00,142.32,142.32,EUR,Final,34,-4,Deficit,Final
20.04.2023 00:00 - 20.04.2023 01:00,140.27,140.27,EUR,Final,48,-6,Deficit,Final
20.04.2023 01:00 - 20.04.2023 02:00,132.09,132.09,EUR,Final,74,1,Deficit,Final
20.04.2023 02:00 - 20.04.2023 03:00,135.46,135.46,EUR,Final,40,-1,Deficit,Final
20.04.2023 03:00 - 20.04.2023 04:00,132.97,132.97,EUR,Final,25,3,Deficit,Final
20.04.2023 04:00 - 20.04.2023 05:00,136.05,136.05,EUR,Final,26,4,Deficit,Final
20.04.2023 05:00 - 20.04.2023 06:00,143.89,143.89,EUR,Final,2,4,Deficit,Final
20.04.2023 06:00 - 20.04.2023 07:00,179.16,179.16,EUR,Final,36,-2,Deficit,Final
20.04.2023 07:00 - 20.04.2023 08:00,202.27,202.27,EUR,Final,18,8,Deficit,Final
20.04.2023 08:00 - 20.04.2023 09:00,86.89,86.89,EUR,Final,17,-4,Surplus,Final
20.04.2023 09:00 - 20.04.2023 10:00,78.54,78.54,EUR,Final,32,4,Surplus,Final
20.04.2023 10:00 - 20.04.2023 11:00,65.16,65.16,EUR,Final,77,11,Surplus,Final
20.04.2023 11:00 - 20.04.2023 12:00,58.16,58.16,EUR,Final,111,36,Surplus,Final
20.04.2023 12:00 - 20.04.2023 13:00,131.92,131.92,EUR,Final,3,3,Deficit,Final
20.04.2023 13:00 - 20.04.2023 14:00,53.77,53.77,EUR,Final,9,-2,Surplus,Final
20.04.2023 14:00 - 20.04.2023 15:00,124.36,124.36,EUR,Final,10,-4,Deficit,Final
20.04.2023 15:00 - 20.04.2023 16:00,121.98,121.98,EUR,Final,74,-1,Deficit,Final
20.04.2023 16:00 - 20.04.2023 17:00,128.93,128.93,EUR,Final,20,5,Deficit,Final
20.04.2023 17:00 - 20.04.2023 18:00,145.26,145.26,EUR,Final,120,-13,Deficit,Final
20.04.2023 18:00 - 20.04.2023 19:00,180.59,180.59,EUR,Final,30,-5,Deficit,Final
20.04.2023 19:00 - 20.04.2023 20:00,235.93,235.93,EUR,Final,3,1,Deficit,Final
20.04.2023 20:00 - 20.04.2023 21:00,113.81,113.81,EUR,Final,24,6,Surplus,Final
20.04.2023 21:00 - 20.04.2023 22:00,207.56,207.56,EUR,Final,14,3,Deficit,Final
20.04.2023 22:00 - 20.04.2023 23:00,181.87,181.87,EUR,Final,8,1,Deficit,Final
20.04.2023 23:00 - 21.04.2023 00:00,63.08,63.08,EUR,Final,22,6,Surplus,Final
21.04.2023 00:00 - 21.04.2023 01:00,59.23,59.23,EUR,Final,31,7,Surplus,Final
21.04.2023 01:00 - 21.04.2023 02:00,128.59,128.59,EUR,Final,18,-2,Deficit,Final
21.04.2023 02:00 - 21.04.2023 03:00,133.53,133.53,EUR,Final,45,1,Deficit,Final
21.04.2023 03:00 - 21.04.2023 04:00,134.08,134.08,EUR,Final,54,-1,Deficit,Final
21.04.2023 04:00 - 21.04.2023 05:00,131.89,131.89,EUR,Final,29,1,Deficit,Final
21.04.2023 05:00 - 21.04.2023 06:00,139.01,139.01,EUR,Final,37,3,Deficit,Final
21.04.2023 06:00 - 21.04.2023 07:00,171.88,171.88,EUR,Final,32,-7,Deficit,Final
21.04.2023 07:00 - 21.04.2023 08:00,191,191,EUR,Final,26,-9,Deficit,Final
21.04.2023 08:00 - 21.04.2023 09:00,191.34,191.34,EUR,Final,39,-1,Deficit,Final
21.04.2023 09:00 - 21.04.2023 10:00,159.52,159.52,EUR,Final,43,-6,Deficit,Final
21.04.2023 10:00 - 21.04.2023 11:00,58.97,58.97,EUR,Final,2,2,Surplus,Final
21.04.2023 11:00 - 21.04.2023 12:00,49.2,49.2,EUR,Final,52,1,Surplus,Final
21.04.2023 12:00 - 21.04.2023 13:00,44.98,44.98,EUR,Final,62,1,Surplus,Final
21.04.2023 13:00 - 21.04.2023 14:00,43.52,43.52,EUR,Final,84,18,Surplus,Final
21.04.2023 14:00 - 21.04.2023 15:00,42.76,42.76,EUR,Final,41,-3,Surplus,Final
21.04.2023 15:00 - 21.04.2023 16:00,43.2,43.2,EUR,Final,23,-1,Surplus,Final
21.04.2023 16:00 - 21.04.2023 17:00,108.01,108.01,EUR,Final,62,-2,Deficit,Final
21.04.2023 17:00 - 21.04.2023 18:00,64,64,EUR,Final,26,3,Surplus,Final
21.04.2023 18:00 - 21.04.2023 19:00,77.12,77.12,EUR,Final,52,15,Surplus,Final
21.04.2023 19:00 - 21.04.2023 20:00,97.7,97.7,EUR,Final,222,42,Surplus,Final
21.04.2023 20:00 - 21.04.2023 21:00,107.42,107.42,EUR,Final,144,5,Surplus,Final
21.04.2023 21:00 - 21.04.2023 22:00,91.51,91.51,EUR,Final,152,0,Surplus,Final
21.04.2023 22:00 - 21.04.2023 23:00,94.68,94.68,EUR,Final,59,-4,Surplus,Final
21.04.2023 23:00 - 22.04.2023 00:00,145.95,145.95,EUR,Final,26,6,Deficit,Final
22.04.2023 00:00 - 22.04.2023 01:00,147.41,147.41,EUR,Final,70,-7,Deficit,Final
22.04.2023 01:00 - 22.04.2023 02:00,135.53,135.53,EUR,Final,48,-12,Deficit,Final
22.04.2023 02:00 - 22.04.2023 03:00,57.29,57.29,EUR,Final,35,2,Surplus,Final
22.04.2023 03:00 - 22.04.2023 04:00,55.81,55.81,EUR,Final,10,1,Surplus,Final
22.04.2023 04:00 - 22.04.2023 05:00,127.82,127.82,EUR,Final,4,-5,Deficit,Final
22.04.2023 05:00 - 22.04.2023 06:00,134.4,134.4,EUR,Final,2,-6,Deficit,Final
22.04.2023 06:00 - 22.04.2023 07:00,59.89,59.89,EUR,Final,28,-6,Surplus,Final
22.04.2023 07:00 - 22.04.2023 08:00,62.26,62.26,EUR,Final,20,-5,Surplus,Final
22.04.2023 08:00 - 22.04.2023 09:00,61.16,61.16,EUR,Final,10,-7,Surplus,Final
22.04.2023 09:00 - 22.04.2023 10:00,54.85,54.85,EUR,Final,7,-2,Surplus,Final
22.04.2023 10:00 - 22.04.2023 11:00,107.37,107.37,EUR,Final,19,-11,Deficit,Final
22.04.2023 11:00 - 22.04.2023 12:00,31.28,31.28,EUR,Final,37,49,Surplus,Final
22.04.2023 12:00 - 22.04.2023 13:00,19.5,19.5,EUR,Final,32,104,Surplus,Final
22.04.2023 13:00 - 22.04.2023 14:00,9.82,9.82,EUR,Final,35,-21,Surplus,Final
22.04.2023 14:00 - 22.04.2023 15:00,6.86,6.86,EUR,Final,88,-3,Surplus,Final
22.04.2023 15:00 - 22.04.2023 16:00,23.11,23.11,EUR,Final,50,-6,Surplus,Final
22.04.2023 16:00 - 22.04.2023 17:00,46.49,46.49,EUR,Final,71,-1,Surplus,Final
22.04.2023 17:00 - 22.04.2023 18:00,57,57,EUR,Final,75,-1,Surplus,Final
22.04.2023 18:00 - 22.04.2023 19:00,73.54,73.54,EUR,Final,94,18,Surplus,Final
22.04.2023 19:00 - 22.04.2023 20:00,94.3,94.3,EUR,Final,44,-3,Surplus,Final
22.04.2023 20:00 - 22.04.2023 21:00,87.92,87.92,EUR,Final,36,5,Surplus,Final
22.04.2023 21:00 - 22.04.2023 22:00,76.2,76.2,EUR,Final,15,1,Surplus,Final
22.04.2023 22:00 - 22.04.2023 23:00,149.32,149.32,EUR,Final,19,0,Deficit,Final
22.04.2023 23:00 - 23.04.2023 00:00,60.8,60.8,EUR,Final,7,-2,Surplus,Final
23.04.2023 00:00 - 23.04.2023 01:00,63.35,63.35,EUR,Final,68,20,Surplus,Final
23.04.2023 01:00 - 23.04.2023 02:00,59.12,59.12,EUR,Final,63,6,Surplus,Final
23.04.2023 02:00 - 23.04.2023 03:00,57.7,57.7,EUR,Final,44,9,Surplus,Final
23.04.2023 03:00 - 23.04.2023 04:00,54.44,54.44,EUR,Final,36,-2,Surplus,Final
23.04.2023 04:00 - 23.04.2023 05:00,52.56,52.56,EUR,Final,27,-2,Surplus,Final
23.04.2023 05:00 - 23.04.2023 06:00,128.52,128.52,EUR,Final,7,2,Deficit,Final
23.04.2023 06:00 - 23.04.2023 07:00,56.06,56.06,EUR,Final,10,-6,Surplus,Final
23.04.2023 07:00 - 23.04.2023 08:00,60.5,60.5,EUR,Final,24,-4,Surplus,Final
23.04.2023 08:00 - 23.04.2023 09:00,58.33,58.33,EUR,Final,50,-3,Surplus,Final
23.04.2023 09:00 - 23.04.2023 10:00,50.2,50.2,EUR,Final,32,-6,Surplus,Final
23.04.2023 10:00 - 23.04.2023 11:00,48.31,48.31,EUR,Final,45,-8,Surplus,Final
23.04.2023 11:00 - 23.04.2023 12:00,28.24,28.24,EUR,Final,105,37,Surplus,Final
23.04.2023 12:00 - 23.04.2023 13:00,19.45,19.45,EUR,Final,130,41,Surplus,Final
23.04.2023 13:00 - 23.04.2023 14:00,5.66,5.66,EUR,Final,87,-2,Surplus,Final
23.04.2023 14:00 - 23.04.2023 15:00,3.04,3.04,EUR,Final,88,-6,Surplus,Final
23.04.2023 15:00 - 23.04.2023 16:00,22.83,22.83,EUR,Final,120,2,Surplus,Final
23.04.2023 16:00 - 23.04.2023 17:00,42.1,42.1,EUR,Final,115,6,Surplus,Final
23.04.2023 17:00 - 23.04.2023 18:00,72.97,72.97,EUR,Final,58,-5,Surplus,Final
23.04.2023 18:00 - 23.04.2023 19:00,82.03,82.03,EUR,Final,15,-5,Surplus,Final
23.04.2023 19:00 - 23.04.2023 20:00,186.65,186.65,EUR,Final,18,3,Deficit,Final
23.04.2023 20:00 - 23.04.2023 21:00,79.63,79.63,EUR,Final,26,3,Surplus,Final
23.04.2023 21:00 - 23.04.2023 22:00,75.01,75.01,EUR,Final,38,5,Surplus,Final
23.04.2023 22:00 - 23.04.2023 23:00,163.73,163.73,EUR,Final,4,-7,Deficit,Final
23.04.2023 23:00 - 24.04.2023 00:00,69.21,69.21,EUR,Final,68,6,Surplus,Final
24.04.2023 00:00 - 24.04.2023 01:00,122.78,122.78,EUR,Final,4,0,Deficit,Final
24.04.2023 01:00 - 24.04.2023 02:00,117.01,117.01,EUR,Final,183,-23,Deficit,Final
24.04.2023 02:00 - 24.04.2023 03:00,49.25,49.25,EUR,Final,100,21,Surplus,Final
24.04.2023 03:00 - 24.04.2023 04:00,45.84,45.84,EUR,Final,43,1,Surplus,Final
24.04.2023 04:00 - 24.04.2023 05:00,45.05,45.05,EUR,Final,78,29,Surplus,Final
24.04.2023 05:00 - 24.04.2023 06:00,121.17,121.17,EUR,Final,22,5,Deficit,Final
24.04.2023 06:00 - 24.04.2023 07:00,160.44,160.44,EUR,Final,181,-18,Deficit,Final
24.04.2023 07:00 - 24.04.2023 08:00,187.32,187.32,EUR,Final,55,-10,Deficit,Final
24.04.2023 08:00 - 24.04.2023 09:00,189,189,EUR,Final,61,-6,Deficit,Final
24.04.2023 09:00 - 24.04.2023 10:00,177.69,177.69,EUR,Final,149,-10,Deficit,Final
24.04.2023 10:00 - 24.04.2023 11:00,155.13,155.13,EUR,Final,26,-1,Deficit,Final
24.04.2023 11:00 - 24.04.2023 12:00,64.81,64.81,EUR,Final,89,-2,Surplus,Final
24.04.2023 12:00 - 24.04.2023 13:00,58.73,58.73,EUR,Final,4,-2,Surplus,Final
24.04.2023 13:00 - 24.04.2023 14:00,132.54,132.54,EUR,Final,23,-5,Deficit,Final
24.04.2023 14:00 - 24.04.2023 15:00,121.21,121.21,EUR,Final,157,-17,Deficit,Final
24.04.2023 15:00 - 24.04.2023 16:00,118.2,118.2,EUR,Final,142,-16,Deficit,Final
24.04.2023 16:00 - 24.04.2023 17:00,133.48,133.48,EUR,Final,94,-5,Deficit,Final
24.04.2023 17:00 - 24.04.2023 18:00,149.48,149.48,EUR,Final,103,-17,Deficit,Final
24.04.2023 18:00 - 24.04.2023 19:00,166.92,166.92,EUR,Final,41,-6,Deficit,Final
24.04.2023 19:00 - 24.04.2023 20:00,188.4,188.4,EUR,Final,31,-23,Deficit,Final
24.04.2023 20:00 - 24.04.2023 21:00,190.36,190.36,EUR,Final,5,-18,Deficit,Final
24.04.2023 21:00 - 24.04.2023 22:00,84.76,84.76,EUR,Final,79,28,Surplus,Final
24.04.2023 22:00 - 24.04.2023 23:00,77.91,77.91,EUR,Final,97,15,Surplus,Final
24.04.2023 23:00 - 25.04.2023 00:00,62.3,62.3,EUR,Final,125,20,Surplus,Final
25.04.2023 00:00 - 25.04.2023 01:00,139.02,139.02,EUR,Final,24,-1,Deficit,Final
25.04.2023 01:00 - 25.04.2023 02:00,130.72,130.72,EUR,Final,9,-2,Deficit,Final
25.04.2023 02:00 - 25.04.2023 03:00,55.59,55.59,EUR,Final,127,35,Surplus,Final
25.04.2023 03:00 - 25.04.2023 04:00,52.97,52.97,EUR,Final,141,35,Surplus,Final
25.04.2023 04:00 - 25.04.2023 05:00,54.1,54.1,EUR,Final,165,29,Surplus,Final
25.04.2023 05:00 - 25.04.2023 06:00,57.32,57.32,EUR,Final,212,87,Surplus,Final
25.04.2023 06:00 - 25.04.2023 07:00,80.45,80.45,EUR,Final,107,4,Surplus,Final
25.04.2023 07:00 - 25.04.2023 08:00,80.46,80.46,EUR,Final,33,13,Surplus,Final
25.04.2023 08:00 - 25.04.2023 09:00,80.96,80.96,EUR,Final,86,12,Surplus,Final
25.04.2023 09:00 - 25.04.2023 10:00,70.95,70.95,EUR,Final,146,17,Surplus,Final
25.04.2023 10:00 - 25.04.2023 11:00,65.89,65.89,EUR,Final,101,11,Surplus,Final
25.04.2023 11:00 - 25.04.2023 12:00,123.76,123.76,EUR,Final,48,1,Deficit,Final
25.04.2023 12:00 - 25.04.2023 13:00,49.63,49.63,EUR,Final,11,2,Surplus,Final
25.04.2023 13:00 - 25.04.2023 14:00,104.86,104.86,EUR,Final,18,-1,Deficit,Final
25.04.2023 14:00 - 25.04.2023 15:00,41.89,41.89,EUR,Final,36,0,Surplus,Final
25.04.2023 15:00 - 25.04.2023 16:00,43.75,43.75,EUR,Final,22,-3,Surplus,Final
25.04.2023 16:00 - 25.04.2023 17:00,50.52,50.52,EUR,Final,77,1,Surplus,Final
25.04.2023 17:00 - 25.04.2023 18:00,58.08,58.08,EUR,Final,52,3,Surplus,Final
25.04.2023 18:00 - 25.04.2023 19:00,68.72,68.72,EUR,Final,64,-3,Surplus,Final
25.04.2023 19:00 - 25.04.2023 20:00,88.08,88.08,EUR,Final,13,-3,Surplus,Final
25.04.2023 20:00 - 25.04.2023 21:00,201.82,201.82,EUR,Final,33,-6,Deficit,Final
25.04.2023 21:00 - 25.04.2023 22:00,85.95,85.95,EUR,Final,43,2,Surplus,Final
25.04.2023 22:00 - 25.04.2023 23:00,81.62,81.62,EUR,Final,93,28,Surplus,Final
25.04.2023 23:00 - 26.04.2023 00:00,69.91,69.91,EUR,Final,163,27,Surplus,Final
26.04.2023 00:00 - 26.04.2023 01:00,62.25,62.25,EUR,Final,95,39,Surplus,Final
26.04.2023 01:00 - 26.04.2023 02:00,63.16,63.16,EUR,Final,27,-7,Surplus,Final
26.04.2023 02:00 - 26.04.2023 03:00,64.64,64.64,EUR,Final,36,-6,Surplus,Final
26.04.2023 03:00 - 26.04.2023 04:00,63.64,63.64,EUR,Final,28,-2,Surplus,Final
26.04.2023 04:00 - 26.04.2023 05:00,130.66,130.66,EUR,Final,8,-4,Deficit,Final
26.04.2023 05:00 - 26.04.2023 06:00,140.9,140.9,EUR,Final,71,-5,Deficit,Final
26.04.2023 06:00 - 26.04.2023 07:00,175.22,175.22,EUR,Final,77,-14,Deficit,Final
26.04.2023 07:00 - 26.04.2023 08:00,83.95,83.95,EUR,Final,88,7,Surplus,Final
26.04.2023 08:00 - 26.04.2023 09:00,83.21,83.21,EUR,Final,150,35,Surplus,Final
26.04.2023 09:00 - 26.04.2023 10:00,69.75,69.75,EUR,Final,93,-12,Surplus,Final
26.04.2023 10:00 - 26.04.2023 11:00,65.99,65.99,EUR,Final,49,-7,Surplus,Final
26.04.2023 11:00 - 26.04.2023 12:00,70.02,70.02,EUR,Final,37,4,Surplus,Final
26.04.2023 12:00 - 26.04.2023 13:00,131.47,131.47,EUR,Final,16,1,Deficit,Final
26.04.2023 13:00 - 26.04.2023 14:00,134.79,134.79,EUR,Final,127,1,Deficit,Final
26.04.2023 14:00 - 26.04.2023 15:00,135.28,135.28,EUR,Final,165,-1,Deficit,Final
26.04.2023 15:00 - 26.04.2023 16:00,129.99,129.99,EUR,Final,139,-2,Deficit,Final
26.04.2023 16:00 - 26.04.2023 17:00,137.48,137.48,EUR,Final,68,5,Deficit,Final
26.04.2023 17:00 - 26.04.2023 18:00,67.54,67.54,EUR,Final,13,5,Surplus,Final
26.04.2023 18:00 - 26.04.2023 19:00,179.48,179.48,EUR,Final,20,-14,Deficit,Final
26.04.2023 19:00 - 26.04.2023 20:00,207.35,207.35,EUR,Final,43,-3,Deficit,Final
26.04.2023 20:00 - 26.04.2023 21:00,216.96,216.96,EUR,Final,85,4,Deficit,Final
26.04.2023 21:00 - 26.04.2023 22:00,195.14,195.14,EUR,Final,129,-28,Deficit,Final
26.04.2023 22:00 - 26.04.2023 23:00,162.35,162.35,EUR,Final,93,2,Deficit,Final
26.04.2023 23:00 - 27.04.2023 00:00,147.21,147.21,EUR,Final,77,-8,Deficit,Final
27.04.2023 00:00 - 27.04.2023 01:00,149.67,149.67,EUR,Final,33,0,Deficit,Final
27.04.2023 01:00 - 27.04.2023 02:00,128.37,128.37,EUR,Final,31,-2,Deficit,Final
27.04.2023 02:00 - 27.04.2023 03:00,126.71,126.71,EUR,Final,13,-3,Deficit,Final
27.04.2023 03:00 - 27.04.2023 04:00,126.77,126.77,EUR,Final,4,-6,Deficit,Final
27.04.2023 04:00 - 27.04.2023 05:00,55.9,55.9,EUR,Final,1,-6,Surplus,Final
27.04.2023 05:00 - 27.04.2023 06:00,136.19,136.19,EUR,Final,40,3,Deficit,Final
27.04.2023 06:00 - 27.04.2023 07:00,165.77,165.77,EUR,Final,97,-32,Deficit,Final
27.04.2023 07:00 - 27.04.2023 08:00,191.87,191.87,EUR,Final,73,-3,Deficit,Final
27.04.2023 08:00 - 27.04.2023 09:00,179.23,179.23,EUR,Final,51,-8,Deficit,Final
27.04.2023 09:00 - 27.04.2023 10:00,142.1,142.1,EUR,Final,52,-4,Deficit,Final
27.04.2023 10:00 - 27.04.2023 11:00,119.45,119.45,EUR,Final,42,-3,Deficit,Final
27.04.2023 11:00 - 27.04.2023 12:00,49.78,49.78,EUR,Final,45,9,Surplus,Final
27.04.2023 12:00 - 27.04.2023 13:00,49.1,49.1,EUR,Final,54,-3,Surplus,Final
27.04.2023 13:00 - 27.04.2023 14:00,47.93,47.93,EUR,Final,116,9,Surplus,Final
27.04.2023 14:00 - 27.04.2023 15:00,53.34,53.34,EUR,Final,116,14,Surplus,Final
27.04.2023 15:00 - 27.04.2023 16:00,60.33,60.33,EUR,Final,77,1,Surplus,Final
27.04.2023 16:00 - 27.04.2023 17:00,56.86,56.86,EUR,Final,59,3,Surplus,Final
27.04.2023 17:00 - 27.04.2023 18:00,61.14,61.14,EUR,Final,44,8,Surplus,Final
27.04.2023 18:00 - 27.04.2023 19:00,174.17,174.17,EUR,Final,2,-6,Deficit,Final
27.04.2023 19:00 - 27.04.2023 20:00,207.66,207.66,EUR,Final,35,-8,Deficit,Final
27.04.2023 20:00 - 27.04.2023 21:00,216.9,216.9,EUR,Final,82,-15,Deficit,Final
27.04.2023 21:00 - 27.04.2023 22:00,183.56,183.56,EUR,Final,159,-42,Deficit,Final
27.04.2023 22:00 - 27.04.2023 23:00,161.82,161.82,EUR,Final,131,1,Deficit,Final
27.04.2023 23:00 - 28.04.2023 00:00,132.22,132.22,EUR,Final,130,-9,Deficit,Final
28.04.2023 00:00 - 28.04.2023 01:00,133.21,133.21,EUR,Final,79,1,Deficit,Final
28.04.2023 01:00 - 28.04.2023 02:00,121.61,121.61,EUR,Final,92,0,Deficit,Final
28.04.2023 02:00 - 28.04.2023 03:00,117.73,117.73,EUR,Final,87,-3,Deficit,Final
28.04.2023 03:00 - 28.04.2023 04:00,118.67,118.67,EUR,Final,54,-2,Deficit,Final
28.04.2023 04:00 - 28.04.2023 05:00,120.74,120.74,EUR,Final,59,-2,Deficit,Final
28.04.2023 05:00 - 28.04.2023 06:00,124.85,124.85,EUR,Final,45,10,Deficit,Final
28.04.2023 06:00 - 28.04.2023 07:00,158.07,158.07,EUR,Final,8,-3,Deficit,Final
28.04.2023 07:00 - 28.04.2023 08:00,72.92,72.92,EUR,Final,15,5,Surplus,Final
28.04.2023 08:00 - 28.04.2023 09:00,68.47,68.47,EUR,Final,3,2,Surplus,Final
28.04.2023 09:00 - 28.04.2023 10:00,64.73,64.73,EUR,Final,18,-1,Surplus,Final
28.04.2023 10:00 - 28.04.2023 11:00,60.58,60.58,EUR,Final,26,0,Surplus,Final
28.04.2023 11:00 - 28.04.2023 12:00,56.87,56.87,EUR,Final,105,5,Surplus,Final
28.04.2023 12:00 - 28.04.2023 13:00,127.78,127.78,EUR,Final,1,-1,Deficit,Final
28.04.2023 13:00 - 28.04.2023 14:00,117.04,117.04,EUR,Final,61,-6,Deficit,Final
28.04.2023 14:00 - 28.04.2023 15:00,112.13,112.13,EUR,Final,42,-2,Deficit,Final
28.04.2023 15:00 - 28.04.2023 16:00,110.71,110.71,EUR,Final,39,-2,Deficit,Final
28.04.2023 16:00 - 28.04.2023 17:00,125.64,125.64,EUR,Final,67,1,Deficit,Final
28.04.2023 17:00 - 28.04.2023 18:00,138.53,138.53,EUR,Final,83,1,Deficit,Final
28.04.2023 18:00 - 28.04.2023 19:00,161.2,161.2,EUR,Final,137,-33,Deficit,Final
28.04.2023 19:00 - 28.04.2023 20:00,174.73,174.73,EUR,Final,84,-1,Deficit,Final
28.04.2023 20:00 - 28.04.2023 21:00,184.13,184.13,EUR,Final,12,2,Deficit,Final
28.04.2023 21:00 - 28.04.2023 22:00,74.6,74.6,EUR,Final,46,15,Surplus,Final
28.04.2023 22:00 - 28.04.2023 23:00,70.03,70.03,EUR,Final,9,-4,Surplus,Final
28.04.2023 23:00 - 29.04.2023 00:00,147.67,147.67,EUR,Final,37,-10,Deficit,Final
29.04.2023 00:00 - 29.04.2023 01:00,161.83,161.83,EUR,Final,38,-7,Deficit,Final
29.04.2023 01:00 - 29.04.2023 02:00,151.98,151.98,EUR,Final,29,4,Deficit,Final
29.04.2023 02:00 - 29.04.2023 03:00,148.54,148.54,EUR,Final,4,-2,Deficit,Final
29.04.2023 03:00 - 29.04.2023 04:00,147,147,EUR,Final,37,0,Deficit,Final
29.04.2023 04:00 - 29.04.2023 05:00,141.74,141.74,EUR,Final,35,-1,Deficit,Final
29.04.2023 05:00 - 29.04.2023 06:00,143.85,143.85,EUR,Final,3,4,Deficit,Final
29.04.2023 06:00 - 29.04.2023 07:00,61.94,61.94,EUR,Final,22,-5,Surplus,Final
29.04.2023 07:00 - 29.04.2023 08:00,65.64,65.64,EUR,Final,41,-2,Surplus,Final
29.04.2023 08:00 - 29.04.2023 09:00,69.38,69.38,EUR,Final,4,0,Surplus,Final
29.04.2023 09:00 - 29.04.2023 10:00,149.25,149.25,EUR,Final,44,-9,Deficit,Final
29.04.2023 10:00 - 29.04.2023 11:00,144.91,144.91,EUR,Final,42,-1,Deficit,Final
29.04.2023 11:00 - 29.04.2023 12:00,129.88,129.88,EUR,Final,14,-1,Deficit,Final
29.04.2023 12:00 - 29.04.2023 13:00,115.12,115.12,EUR,Final,8,-3,Deficit,Final
29.04.2023 13:00 - 29.04.2023 14:00,111.58,111.58,EUR,Final,0,-2,Balanced,Final
29.04.2023 14:00 - 29.04.2023 15:00,39.72,39.72,EUR,Final,8,-5,Surplus,Final
29.04.2023 15:00 - 29.04.2023 16:00,96.67,96.67,EUR,Final,51,-12,Deficit,Final
29.04.2023 16:00 - 29.04.2023 17:00,112,112,EUR,Final,40,2,Deficit,Final
29.04.2023 17:00 - 29.04.2023 18:00,119,119,EUR,Final,1,5,Deficit,Final
29.04.2023 18:00 - 29.04.2023 19:00,140.14,140.14,EUR,Final,28,-7,Deficit,Final
29.04.2023 19:00 - 29.04.2023 20:00,165.12,165.12,EUR,Final,17,-6,Deficit,Final
29.04.2023 20:00 - 29.04.2023 21:00,167.38,167.38,EUR,Final,46,11,Deficit,Final
29.04.2023 21:00 - 29.04.2023 22:00,168,168,EUR,Final,82,-1,Deficit,Final
29.04.2023 22:00 - 29.04.2023 23:00,161.8,161.8,EUR,Final,38,-1,Deficit,Final
29.04.2023 23:00 - 30.04.2023 00:00,66,66,EUR,Final,35,19,Surplus,Final
30.04.2023 00:00 - 30.04.2023 01:00,59.57,59.57,EUR,Final,84,-2,Surplus,Final
30.04.2023 01:00 - 30.04.2023 02:00,54.65,54.65,EUR,Final,105,28,Surplus,Final
30.04.2023 02:00 - 30.04.2023 03:00,53.03,53.03,EUR,Final,81,-3,Surplus,Final
30.04.2023 03:00 - 30.04.2023 04:00,51.34,51.34,EUR,Final,7,-2,Surplus,Final
30.04.2023 04:00 - 30.04.2023 05:00,50.48,50.48,EUR,Final,2,0,Surplus,Final
30.04.2023 05:00 - 30.04.2023 06:00,51.95,51.95,EUR,Final,53,5,Surplus,Final
30.04.2023 06:00 - 30.04.2023 07:00,51.41,51.41,EUR,Final,125,2,Surplus,Final
30.04.2023 07:00 - 30.04.2023 08:00,52.11,52.11,EUR,Final,127,-2,Surplus,Final
30.04.2023 08:00 - 30.04.2023 09:00,49.23,49.23,EUR,Final,142,4,Surplus,Final
30.04.2023 09:00 - 30.04.2023 10:00,32.97,32.97,EUR,Final,190,24,Surplus,Final
30.04.2023 10:00 - 30.04.2023 11:00,18.53,18.53,EUR,Final,194,4,Surplus,Final
30.04.2023 11:00 - 30.04.2023 12:00,7.29,7.29,EUR,Final,154,-3,Surplus,Final
30.04.2023 12:00 - 30.04.2023 13:00,6.3,6.3,EUR,Final,49,-4,Surplus,Final
30.04.2023 13:00 - 30.04.2023 14:00,0.77,0.77,EUR,Final,118,17,Surplus,Final
30.04.2023 14:00 - 30.04.2023 15:00,0.61,0.61,EUR,Final,64,-7,Surplus,Final
30.04.2023 15:00 - 30.04.2023 16:00,0.87,0.87,EUR,Final,31,-5,Surplus,Final
30.04.2023 16:00 - 30.04.2023 17:00,19.6,19.6,EUR,Final,10,1,Deficit,Final
